term,estimate,penalty
<<<<<<< HEAD
gdp_constant_usd,0.23504156132274706,0.08836609996689186
age_dependency_old,0.1804022177571513,0.08836609996689186
imports_goods_services,-0.08580460329274256,0.08836609996689186
health_expenditure,0.051601813755943964,0.08836609996689186
fertility_rate,-0.05107932480753611,0.08836609996689186
government_revenue,0.0487980781591653,0.08836609996689186
labor_force_female,0.014701493625848862,0.08836609996689186
fdi_inflow,0.010468788177851383,0.08836609996689186
=======
gdp_constant_usd,0.235041561322747,0.08836609996689186
age_dependency_old,0.18040221775715182,0.08836609996689186
imports_goods_services,-0.0858046032927424,0.08836609996689186
health_expenditure,0.05160181375594354,0.08836609996689186
fertility_rate,-0.051079324807535326,0.08836609996689186
government_revenue,0.048798078159165176,0.08836609996689186
labor_force_female,0.014701493625848723,0.08836609996689186
fdi_inflow,0.010468788177851253,0.08836609996689186
>>>>>>> 1a79d5301db870c75fd1644d1f989216505fefcd
